visit,frmid,fov,date_obs,tai_s,boresight_ra_deg,boresight_dec_deg,roll_deg,mars_ra_deg,mars_dec_deg,offset_arcsec,offset_east_arcsec,offset_north_arcsec,offset_across_slit_arcsec,offset_along_slit_arcsec,t_min
Visit2,4867,5x5MR,2025-01-12T04:51:41.000,789972738.0,120.396505,24.820068,26.159542,120.39206987649953,24.817552487666326,17.088592658294242,-14.491632235019747,-9.055844401223112,-16.999722695470712,-1.7392961022566924,19.25
Visit2,4868,5x5MR,2025-01-12T04:54:27.000,789972904.0,120.399817,24.817424,26.138081,120.39125608148885,24.8177417192974,27.99647829319178,-27.973139930251516,1.1437894706375573,-24.608585759881326,13.349993213823709,22.016666666666666
Visit2,4869,5x5MR,2025-01-12T04:57:12.000,789973069.0,120.401712,24.816395,26.144287,120.39044717696699,24.817929802569374,37.220722278005695,-36.808560618455054,5.525289249746379,-30.60795000456614,21.179054573182036,24.766666666666666
Visit2,4870,5x5MR,2025-01-12T06:06:11.000,789977208.0,120.371057,24.823874,26.140221,120.37015206225611,24.82264509614691,5.321165942997887,-2.9567659303007168,-4.424053871122169,-4.60344659617337,-2.668894313635877,93.75
Visit2,4871,5x5MR,2025-01-12T06:08:56.000,789977373.0,120.371568,24.823712,26.142595,120.36934285008338,24.822832960250484,7.929273010869607,-7.270396347829863,-3.164543098260708,-7.920955513810297,0.3625738869879762,96.5
Visit2,4872,5x5MR,2025-01-12T06:11:41.000,789977538.0,120.370456,24.824419,26.141483,120.36853362618068,24.823020815933084,8.04910740575206,-6.281077834198136,-5.033462640892594,-7.856268436449193,-1.7512084887210766,99.25
Visit2,4873,5x5MR,2025-01-12T06:14:26.000,789977703.0,120.371822,24.822642,26.142736,120.3677243905779,24.8232086631927,13.543029436280072,-13.388536969957645,2.0399874937197637,-11.120042104008105,7.730403273797732,102.0
Visit2,4874,5x5MR,2025-01-12T06:17:11.000,789977868.0,120.371053,24.823781,26.140929,120.3669151432651,24.823396502028338,13.590611111735194,-13.519916797588367,-1.3841926979850427,-12.746854515828659,4.71400462358341,104.75
Visit3,4923,5x5MR,2025-01-19T05:09:26.000,790578603.0,117.390864,25.443359,125.286786,117.39003847867482,25.441264826838417,8.002430528618728,-2.6836357337122614,-7.539023381703203,-4.603630732740562,6.545636590713812,0.0
Visit3,4924,5x5MR,2025-01-19T05:12:11.000,790578768.0,117.38963,25.444251,125.289631,117.38922557045939,25.44141395772115,10.297626238647776,-1.3147250044086887,-10.213352203867032,-7.577038925127389,6.97348881153167,2.75
Visit3,4925,5x5MR,2025-01-19T05:14:56.000,790578933.0,117.388967,25.442757,125.288363,117.38841267211393,25.441563076165878,4.660608183182036,-1.802038922625733,-4.298125802841923,-2.467343210502614,3.9539154236402547,5.5
Visit3,4926,5x5MR,2025-01-19T05:17:41.000,790579098.0,117.38945,25.442822,125.289684,117.38759978363846,25.441712182172672,7.220850406724377,-6.014779669328571,-3.995344178377991,0.2136361974894183,7.217666461494981,8.25
Visit3,4927,5x5MR,2025-01-19T05:20:26.000,790579263.0,117.389163,25.44124,125.293296,117.38678690503289,25.4418612757414,8.04169995522663,-7.724434681298968,2.23659266903411,6.2884043710252016,5.012505199927731,11.0
Visit3,4928,5x5MR,2025-01-19T05:23:12.000,790579429.0,117.389681,25.443073,125.289653,117.38596910986766,25.442011260353745,12.657731099624575,-12.06678053192344,-3.822262726512804,3.851211437085709,12.057572526132937,13.766666666666667
Visit4,4973,5x5MR,2025-01-27T03:39:46.000,791264423.0,114.168936,25.946571,-25.161707,114.16578388449095,25.947133448977524,10.402739909045401,-10.203803865204666,2.0248163190927926,-10.096479553199654,-2.5057124889842153,0.0
Visit4,4974,5x5MR,2025-01-27T03:42:31.000,791264588.0,114.166458,25.945699,-25.159443,114.1650613857344,25.947226729920647,7.11953385716754,-4.521053727666754,5.499827714325534,-6.4303228963712264,3.0559743362987586,2.75
Visit4,4975,5x5MR,2025-01-27T03:45:16.000,791264753.0,114.168541,25.947516,-25.161126,114.16433891983786,25.947319996991748,13.620866017147913,-13.602565505029824,-0.7056108297078367,-12.011894729859192,-6.421998128340531,5.5
Visit4,4976,5x5MR,2025-01-27T03:48:01.000,791264918.0,114.16936,25.945856,-25.164453,114.16361648682124,25.947413250190873,19.419287855325642,-18.59260476274132,5.606100687147375,-19.21181397174283,-2.8318758258603793,8.25
Visit4,4977,5x5MR,2025-01-27T03:50:46.000,791265083.0,114.169134,25.945604,-25.163233,114.16289408669459,25.947506489518023,21.32895415105502,-20.199568888594268,6.848962264885472,-21.19480061069817,-2.3898314718069855,11.0
Visit4,4978,5x5MR,2025-01-27T03:53:31.000,791265248.0,114.167953,25.945148,-25.158923,114.1621717194479,25.947599714973155,20.691649701403783,-18.714975877047227,8.82617390335838,-20.691800515878175,0.032546303752584826,13.75
Visit4,4979,5x5MR,2025-01-27T03:56:16.000,791265413.0,114.167455,25.946757,-25.162268,114.16144938509117,25.94769292655729,19.73065415643211,-19.44091821700925,3.3693356062428848,-19.02870139211489,-5.21634420621023,16.5
Visit4,4980,5x5MR,2025-01-27T03:59:01.000,791265578.0,114.166065,25.946978,-25.161175,114.1607270836244,25.947786124269403,17.52260046348758,-17.27946305503372,2.9092473698440813,-16.876820721115777,-4.713436758516769,19.25
Visit4,4981,5x5MR,2025-01-27T05:05:36.000,791269573.0,114.139389,25.952021,155.15778,114.1432486866982,25.950038404770616,14.38879599523698,12.493724595206631,-7.137342825775761,-14.336203927193482,1.2280365757769536,85.83333333333333
Visit4,4982,5x5MR,2025-01-27T05:08:21.000,791269738.0,114.13974,25.951892,155.156891,114.1425272162305,25.95013125276282,11.026322038624338,9.022170153206455,-6.338690053853213,-10.850378574312039,1.9615888117384008,88.58333333333333
Visit4,4983,5x5MR,2025-01-27T05:11:06.000,791269903.0,114.143181,25.9535,155.158208,114.14180577878274,25.950224086885008,12.605478214004222,-4.451506203900718,-11.793287213964732,-0.9149123165239095,12.572210078085057,91.33333333333333
Visit4,4984,5x5MR,2025-01-27T05:13:51.000,791270068.0,114.141767,25.950108,155.157296,114.14108437436498,25.95031690713626,2.334154692019495,-2.2096807164710826,0.7520656905299461,2.321171295566015,0.24587697789103857,94.08333333333333
Visit4,4985,5x5MR,2025-01-27T05:16:36.000,791270233.0,114.142641,25.952348,155.158258,114.14036300298717,25.950409713517473,10.152047486426618,-7.3738078960891045,-6.977831337098905,3.7600417501548353,9.43001903998704,96.83333333333333
